"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"REDINGTON","EQ","26-Sep-2023","158.85","159.00","159.80","156.15","156.50","156.65","157.73","11,07,129","17,46,31,258.50","18,989","5,99,088","54.11"
"REDINGTON","EQ","27-Sep-2023","156.65","156.65","157.55","154.50","154.70","154.70","155.62","13,62,786","21,20,78,384.25","15,102","8,27,423","60.72"
"REDINGTON","EQ","28-Sep-2023","154.70","155.15","155.90","151.05","152.40","152.25","153.76","12,60,532","19,38,15,173.35","17,683","7,83,082","62.12"
"REDINGTON","EQ","29-Sep-2023","152.25","152.25","155.85","152.25","154.50","154.80","154.85","8,24,865","12,77,28,708.80","10,443","4,22,024","51.16"
"REDINGTON","EQ","03-Oct-2023","154.80","153.05","159.50","153.05","157.90","158.05","157.94","14,63,172","23,10,98,935.15","24,358","7,04,509","48.15"
"REDINGTON","EQ","04-Oct-2023","158.05","157.75","158.00","155.05","155.80","155.90","156.00","6,96,505","10,86,51,789.10","10,693","3,79,115","54.43"
"REDINGTON","EQ","05-Oct-2023","155.90","156.05","157.55","155.65","156.20","156.05","156.39","4,02,030","6,28,74,025.15","6,297","2,24,461","55.83"
"REDINGTON","EQ","06-Oct-2023","156.05","156.85","157.45","154.65","155.30","155.05","155.87","6,33,045","9,86,75,640.85","7,195","3,39,051","53.56"
"REDINGTON","EQ","09-Oct-2023","155.05","155.00","155.00","152.20","153.50","153.05","153.45","7,16,165","10,98,93,177.90","12,123","3,85,491","53.83"
"REDINGTON","EQ","10-Oct-2023","153.05","157.65","157.65","152.45","153.60","153.40","153.75","9,68,031","14,88,36,369.25","10,413","4,01,285","41.45"
"REDINGTON","EQ","11-Oct-2023","153.40","154.40","155.40","152.45","152.75","152.70","154.07","17,49,154","26,94,91,913.55","14,202","13,44,326","76.86"
"REDINGTON","EQ","12-Oct-2023","152.70","153.45","154.40","152.35","152.50","152.50","153.14","16,58,034","25,39,09,405.40","24,425","11,77,468","71.02"
"REDINGTON","EQ","13-Oct-2023","152.50","152.35","154.10","151.15","152.60","152.40","152.33","9,74,642","14,84,62,569.60","15,865","4,85,410","49.80"
"REDINGTON","EQ","16-Oct-2023","152.40","153.00","153.50","151.40","151.95","151.85","152.10","13,67,464","20,79,90,634.50","12,939","8,95,784","65.51"
"REDINGTON","EQ","17-Oct-2023","151.85","152.75","153.10","151.80","152.15","152.20","152.28","9,15,484","13,94,08,600.45","9,396","5,79,463","63.30"
"REDINGTON","EQ","18-Oct-2023","152.20","152.50","152.50","151.45","152.00","152.20","152.03","21,75,006","33,06,69,528.25","17,885","13,20,724","60.72"
"REDINGTON","EQ","19-Oct-2023","152.20","152.00","152.40","151.50","152.00","151.95","151.92","4,75,078","7,21,71,895.20","6,300","2,78,150","58.55"
"REDINGTON","EQ","20-Oct-2023","151.95","151.95","152.00","147.45","148.55","148.20","149.32","13,07,956","19,53,04,096.40","18,461","8,09,897","61.92"
"REDINGTON","EQ","23-Oct-2023","148.20","148.95","150.00","140.00","142.20","142.65","145.60","13,04,810","18,99,84,240.45","16,329","6,17,524","47.33"
"REDINGTON","EQ","25-Oct-2023","142.65","142.95","145.75","139.10","140.00","139.60","142.28","19,59,055","27,87,25,303.35","22,791","9,35,956","47.78"
"REDINGTON","EQ","26-Oct-2023","139.60","139.60","142.45","136.20","141.80","141.85","139.41","12,18,303","16,98,40,791.05","15,603","5,35,949","43.99"
"REDINGTON","EQ","27-Oct-2023","141.85","142.30","146.85","142.00","145.35","145.20","144.59","13,96,838","20,19,70,315.85","13,674","5,09,539","36.48"
"REDINGTON","EQ","30-Oct-2023","145.20","146.75","147.55","143.75","145.65","146.05","145.72","7,11,958","10,37,48,081.50","9,307","3,51,667","49.39"
"REDINGTON","EQ","31-Oct-2023","146.05","147.00","147.00","142.20","142.65","142.80","143.95","9,10,207","13,10,28,119.05","13,393","5,39,326","59.25"
"REDINGTON","EQ","01-Nov-2023","142.80","143.05","149.00","142.35","144.60","145.15","144.99","8,91,556","12,92,67,951.20","11,770","3,45,575","38.76"
"REDINGTON","EQ","02-Nov-2023","145.15","145.35","145.85","143.00","143.90","143.75","143.79","8,46,990","12,17,86,669.10","18,024","4,85,664","57.34"
"REDINGTON","EQ","03-Nov-2023","143.75","144.50","145.85","143.55","144.00","144.05","144.57","6,96,476","10,06,91,116.95","13,193","4,36,892","62.73"
"REDINGTON","EQ","06-Nov-2023","144.05","145.40","147.95","144.75","147.60","147.30","146.63","6,90,315","10,12,19,208.50","11,316","3,91,236","56.67"
"REDINGTON","EQ","07-Nov-2023","147.30","147.60","153.00","146.80","146.90","147.70","150.89","49,79,344","75,13,08,699.95","34,772","25,73,715","51.69"
"REDINGTON","EQ","08-Nov-2023","147.70","148.00","152.95","147.30","152.00","152.00","150.69","28,33,774","42,70,07,735.45","18,348","19,81,674","69.93"
"REDINGTON","EQ","09-Nov-2023","152.00","152.45","155.40","152.40","154.50","154.55","154.24","17,46,714","26,94,21,684.35","20,062","9,88,401","56.59"
"REDINGTON","EQ","10-Nov-2023","154.55","153.95","155.20","152.20","154.20","154.55","153.32","8,58,851","13,16,83,248.70","10,977","5,74,929","66.94"
"REDINGTON","EQ","12-Nov-2023","154.55","156.00","156.00","154.10","154.40","154.35","154.79","2,37,094","3,66,99,364.90","4,633","1,54,648","65.23"
"REDINGTON","EQ","13-Nov-2023","154.35","154.00","154.25","152.55","153.25","153.75","153.68","5,03,308","7,73,47,767.65","8,710","2,95,519","58.72"
"REDINGTON","EQ","15-Nov-2023","153.75","154.50","155.80","153.00","155.25","155.25","154.98","11,16,005","17,29,59,453.35","13,081","7,27,260","65.17"
"REDINGTON","EQ","16-Nov-2023","155.25","155.20","157.15","154.10","155.70","155.70","155.95","11,36,595","17,72,53,592.25","23,729","6,48,950","57.10"
"REDINGTON","EQ","17-Nov-2023","155.70","155.65","159.25","155.15","158.20","158.50","158.20","16,71,382","26,44,05,960.45","28,458","9,17,504","54.89"
"REDINGTON","EQ","20-Nov-2023","158.50","159.25","161.25","158.60","160.20","160.30","160.13","13,38,019","21,42,55,831.75","15,999","7,84,236","58.61"
