Date,Close Price,Week Number,Column 1,Month Number,Column 2,Daily Return,Weekly Return,Monthly Return
06-Oct-22,17331.8,41,16887.35,10,16887.35,0.332864429,,
07-Oct-22,17314.65,41,16887.35,10,16887.35,-0.098951061,,
10-Oct-22,17241,42,17241,10,16887.35,-0.425362338,2.094171081,
11-Oct-22,16983.55,42,17241,10,16887.35,-1.493242851,,
12-Oct-22,17123.6,42,17241,10,16887.35,0.824621472,,
13-Oct-22,17014.35,42,17241,10,16887.35,-0.638008363,,
14-Oct-22,17185.7,42,17241,10,16887.35,1.007091073,,
17-Oct-22,17311.8,43,17311.8,10,16887.35,0.733749571,0.410649034,
18-Oct-22,17486.95,43,17311.8,10,16887.35,1.011737659,,
19-Oct-22,17512.25,43,17311.8,10,16887.35,0.144679318,,
20-Oct-22,17563.95,43,17311.8,10,16887.35,0.295221916,,
21-Oct-22,17576.3,43,17311.8,10,16887.35,0.070314479,,
24-Oct-22,17730.75,44,17730.75,10,16887.35,0.878740122,2.420025647,
25-Oct-22,17656.35,44,17730.75,10,16887.35,-0.41961,,
27-Oct-22,17736.95,44,17730.75,10,16887.35,0.45649299,,
28-Oct-22,17786.8,44,17730.75,10,16887.35,0.281051703,,
31-Oct-22,18012.2,45,18012.2,10,16887.35,1.26723188,1.587355301,
01-Nov-22,18145.4,45,18012.2,11,18145.4,0.739498784,,7.449659064
02-Nov-22,18082.85,45,18012.2,11,18145.4,-0.344715465,,
03-Nov-22,18052.7,45,18012.2,11,18145.4,-0.166732567,,
04-Nov-22,18117.15,45,18012.2,11,18145.4,0.357010309,,
07-Nov-22,18202.8,46,18202.8,11,18145.4,0.472756477,1.058171684,
09-Nov-22,18157,46,18202.8,11,18145.4,-0.251609643,,
10-Nov-22,18028.2,46,18202.8,11,18145.4,-0.709368288,,
11-Nov-22,18349.7,46,18202.8,11,18145.4,1.783317247,,
14-Nov-22,18329.15,47,18329.15,11,18145.4,-0.111990932,0.694123981,
15-Nov-22,18403.4,47,18329.15,11,18145.4,0.405092435,,
16-Nov-22,18409.65,47,18329.15,11,18145.4,0.033961116,,
17-Nov-22,18343.9,47,18329.15,11,18145.4,-0.357149647,,
18-Nov-22,18307.65,47,18329.15,11,18145.4,-0.197613376,,
21-Nov-22,18159.95,48,18159.95,11,18145.4,-0.80676657,-0.92311973,
22-Nov-22,18244.2,48,18159.95,11,18145.4,0.463932995,,
23-Nov-22,18267.25,48,18159.95,11,18145.4,0.126341522,,
24-Nov-22,18484.1,48,18159.95,11,18145.4,1.187097127,,
25-Nov-22,18512.75,48,18159.95,11,18145.4,0.154998079,,
28-Nov-22,18562.75,49,18562.75,11,18145.4,0.270084131,2.218067781,
29-Nov-22,18618.05,49,18562.75,11,18145.4,0.297908446,,
30-Nov-22,18758.35,49,18562.75,11,18145.4,0.753569789,,
01-Dec-22,18812.5,49,18562.75,12,18812.5,0.288671445,,3.676413857
02-Dec-22,18696.1,49,18562.75,12,18812.5,-0.618737542,,
05-Dec-22,18701.05,50,18701.05,12,18812.5,0.02647611,0.745040471,
06-Dec-22,18642.75,50,18701.05,12,18812.5,-0.311747201,,
07-Dec-22,18560.5,50,18701.05,12,18812.5,-0.441190275,,
08-Dec-22,18609.35,50,18701.05,12,18812.5,0.263193341,,
09-Dec-22,18496.6,50,18701.05,12,18812.5,-0.605878228,,
12-Dec-22,18497.15,51,18497.15,12,18812.5,0.002973519,-1.090313111,
13-Dec-22,18608,51,18497.15,12,18812.5,0.599281511,,
14-Dec-22,18660.3,51,18497.15,12,18812.5,0.281061909,,
15-Dec-22,18414.9,51,18497.15,12,18812.5,-1.315091397,,
16-Dec-22,18269,51,18497.15,12,18812.5,-0.792293197,,
19-Dec-22,18420.45,52,18420.45,12,18812.5,0.828999945,-0.414658474,
20-Dec-22,18385.3,52,18420.45,12,18812.5,-0.190820528,,
