,Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
72,14-OCT-2022,17322.3,17348.55,17169.75,17185.7,226997138.0,17813.47
73,17-OCT-2022,17144.8,17328.55,17098.55,17311.8,212223419.0,16887.83
74,18-OCT-2022,17438.75,17527.8,17434.05,17486.95,239493630.0,18224.95
75,19-OCT-2022,17568.15,17607.6,17472.85,17512.25,210480869.0,17200.79
76,20-OCT-2022,17423.1,17584.15,17421.0,17563.95,249604832.0,18345.6
77,21-OCT-2022,17622.85,17670.15,17520.75,17576.3,277702680.0,23547.38
78,24-OCT-2022,17736.35,17777.55,17707.4,17730.75,45029477.0,3772.49
79,25-OCT-2022,17808.3,17811.5,17637.0,17656.35,251358203.0,20338.32
80,27-OCT-2022,17771.4,17783.9,17654.5,17736.95,324649088.0,24166.3
81,28-OCT-2022,17756.4,17838.9,17723.7,17786.8,250030113.0,19099.59
82,31-OCT-2022,17910.2,18022.8,17899.9,18012.2,227174539.0,19846.47
83,01-NOV-2022,18130.7,18175.8,18060.15,18145.4,349924808.0,26796.59
84,02-NOV-2022,18177.9,18178.75,18048.65,18082.85,270878019.0,20072.62
85,03-NOV-2022,17968.35,18106.3,17959.2,18052.7,212968291.0,16037.78
86,04-NOV-2022,18053.4,18135.1,18017.15,18117.15,267941526.0,21062.54
87,07-NOV-2022,18211.75,18255.5,18064.75,18202.8,314758398.0,25124.84
88,09-NOV-2022,18288.25,18296.4,18117.5,18157.0,307155149.0,23344.58
89,10-NOV-2022,18044.35,18103.1,17969.4,18028.2,256451785.0,19848.06
90,11-NOV-2022,18272.35,18362.3,18259.35,18349.7,378469072.0,30732.11
91,14-NOV-2022,18376.4,18399.45,18311.4,18329.15,301401961.0,21697.66
92,15-NOV-2022,18362.75,18427.95,18282.0,18403.4,250926391.0,17836.19
93,16-NOV-2022,18398.25,18442.15,18344.15,18409.65,219268992.0,19732.87
94,17-NOV-2022,18358.7,18417.6,18312.95,18343.9,200512910.0,16410.36
95,18-NOV-2022,18382.95,18394.6,18209.8,18307.65,198794846.0,16553.69
96,21-NOV-2022,18246.4,18262.3,18133.35,18159.95,213794598.0,15037.5
97,22-NOV-2022,18179.15,18261.85,18137.7,18244.2,177681099.0,14750.98
98,23-NOV-2022,18325.2,18325.4,18246.0,18267.25,178791087.0,15674.45
99,24-NOV-2022,18326.1,18529.7,18294.25,18484.1,204044559.0,18218.35
100,25-NOV-2022,18528.45,18534.9,18445.1,18512.75,205876043.0,17112.8
101,28-NOV-2022,18430.55,18614.25,18365.6,18562.75,206468884.0,19006.92
102,29-NOV-2022,18552.45,18678.1,18552.15,18618.05,195255179.0,16568.17
103,30-NOV-2022,18625.7,18816.05,18616.55,18758.35,345636288.0,32757.21
104,01-DEC-2022,18871.95,18887.6,18778.2,18812.5,324955829.0,22216.65
105,02-DEC-2022,18752.4,18781.95,18639.2,18696.1,254401004.0,20233.76
106,05-DEC-2022,18719.55,18728.6,18591.35,18701.05,288393766.0,19471.83
107,06-DEC-2022,18600.65,18654.9,18577.9,18642.75,217777090.0,17772.27
108,07-DEC-2022,18638.85,18668.3,18528.4,18560.5,200501720.0,17496.8
109,08-DEC-2022,18570.85,18625.0,18536.95,18609.35,202811256.0,19277.65
110,09-DEC-2022,18662.4,18664.7,18410.1,18496.6,215839572.0,20317.78
111,12-DEC-2022,18402.15,18521.55,18345.7,18497.15,193883468.0,16688.2
112,13-DEC-2022,18524.4,18617.25,18490.2,18608.0,187585567.0,16536.17
113,14-DEC-2022,18671.25,18696.1,18632.9,18660.3,208030337.0,16626.0
114,15-DEC-2022,18614.4,18652.9,18387.7,18414.9,183127544.0,15618.55
115,16-DEC-2022,18319.1,18440.95,18255.15,18269.0,277650193.0,23292.95
116,19-DEC-2022,18288.1,18431.65,18244.55,18420.45,154847475.0,14455.23
117,20-DEC-2022,18340.3,18404.9,18202.65,18385.3,169041783.0,15038.56
118,21-DEC-2022,18435.15,18473.35,18162.75,18199.1,187594274.0,17223.44
119,22-DEC-2022,18288.8,18318.75,18068.6,18127.35,195699650.0,16725.23
120,23-DEC-2022,17977.65,18050.45,17779.5,17806.8,221454773.0,18486.94
121,26-DEC-2022,17830.4,18084.1,17774.25,18014.6,176652342.0,13708.21
122,27-DEC-2022,18089.8,18149.25,17967.45,18132.3,214257094.0,13000.64
123,28-DEC-2022,18084.75,18173.1,18068.35,18122.5,193873167.0,13997.59
124,29-DEC-2022,18045.7,18229.7,17992.8,18191.0,281052828.0,18466.05
125,30-DEC-2022,18259.1,18265.25,18080.3,18105.3,192005563.0,14475.22
126,02-JAN-2023,18131.7,18215.15,18086.5,18197.45,256073979.0,11793.06
127,03-JAN-2023,18163.2,18251.95,18149.8,18232.55,208699772.0,13680.91
128,04-JAN-2023,18230.65,18243.0,18020.6,18042.95,235162202.0,16687.71
129,05-JAN-2023,18101.95,18120.3,17892.6,17992.15,269949738.0,22108.53
130,06-JAN-2023,18008.05,18047.4,17795.55,17859.45,238220578.0,17495.25
131,09-JAN-2023,17952.55,18141.4,17936.15,18101.2,257237669.0,19916.16
132,10-JAN-2023,18121.3,18127.6,17856.0,17914.15,283277918.0,20570.3
133,11-JAN-2023,17924.25,17976.35,17824.35,17895.7,259853294.0,20204.33
134,12-JAN-2023,17920.85,17945.8,17761.65,17858.2,227769060.0,19762.43
135,13-JAN-2023,17867.5,17999.35,17774.25,17956.6,256700729.0,21341.7
136,16-JAN-2023,18033.15,18049.65,17853.65,17894.85,206195816.0,16728.37
137,17-JAN-2023,17922.8,18072.05,17886.95,18053.3,219055125.0,17461.09
138,18-JAN-2023,18074.3,18183.75,18032.45,18165.35,255840928.0,20500.07
139,19-JAN-2023,18119.8,18155.2,18063.75,18107.85,237833991.0,18413.13
140,20-JAN-2023,18115.6,18145.45,18016.2,18027.65,237225269.0,19519.96
141,23-JAN-2023,18118.45,18162.6,18063.45,18118.55,202460434.0,17060.12
142,24-JAN-2023,18183.95,18201.25,18078.65,18118.3,216910302.0,19705.91
143,25-JAN-2023,18093.35,18100.6,17846.15,17891.95,257227052.0,20890.56
144,27-JAN-2023,17877.2,17884.75,17493.55,17604.35,476342611.0,40104.83
145,30-JAN-2023,17541.95,17709.15,17405.55,17648.95,432434028.0,38159.88
146,31-JAN-2023,17731.45,17735.7,17537.55,17662.15,398338541.0,35023.7
147,01-FEB-2023,17811.6,17972.2,17353.4,17616.3,512870802.0,38486.19
148,02-FEB-2023,17517.1,17653.9,17445.95,17610.4,490113567.0,37639.96
149,03-FEB-2023,17721.75,17870.3,17584.2,17854.05,424123037.0,34503.67
150,06-FEB-2023,17818.55,17823.7,17698.35,17764.6,282544790.0,21864.88
151,07-FEB-2023,17790.1,17811.15,17652.55,17721.5,354395693.0,23611.08
152,08-FEB-2023,17750.3,17898.7,17744.15,17871.7,290994265.0,23733.4
153,09-FEB-2023,17885.5,17916.9,17779.8,17893.45,260854055.0,21529.97
154,10-FEB-2023,17847.55,17876.95,17801.0,17856.5,231991834.0,17063.99
155,13-FEB-2023,17859.1,17880.7,17719.75,17770.9,231276483.0,17406.31
156,14-FEB-2023,17840.35,17954.55,17800.05,17929.85,244512944.0,20579.8
157,15-FEB-2023,17896.6,18034.1,17853.8,18015.85,229273800.0,21457.34
158,16-FEB-2023,18094.75,18134.75,18000.65,18035.85,230246175.0,18891.55
159,17-FEB-2023,17974.85,18034.25,17884.6,17944.2,208053929.0,16998.33
160,20-FEB-2023,17965.55,18004.35,17818.4,17844.6,174563233.0,14729.07
161,21-FEB-2023,17905.8,17924.9,17800.3,17826.7,198248205.0,15593.09
162,22-FEB-2023,17755.35,17772.5,17529.45,17554.3,204021979.0,17162.09
163,23-FEB-2023,17574.65,17620.05,17455.4,17511.25,240807918.0,19313.68
164,24-FEB-2023,17591.35,17599.75,17421.8,17465.8,209406363.0,16100.18
165,27-FEB-2023,17428.6,17451.6,17299.0,17392.7,246448847.0,16638.41
166,28-FEB-2023,17383.25,17440.45,17255.2,17303.95,420881259.0,32959.77
167,01-MAR-2023,17360.1,17467.75,17345.25,17450.9,272881409.0,19784.53
168,02-MAR-2023,17421.5,17445.8,17306.0,17321.9,310669094.0,22068.68
169,03-MAR-2023,17451.25,17644.75,17427.7,17594.35,356169518.0,24143.96
170,06-MAR-2023,17680.35,17799.95,17671.95,17711.45,362801096.0,26959.41
171,08-MAR-2023,17665.75,17766.5,17602.25,17754.4,267041402.0,23155.56
172,09-MAR-2023,17772.05,17772.35,17573.6,17589.6,262352056.0,21964.17
173,10-MAR-2023,17443.8,17451.5,17324.35,17412.9,235927570.0,19794.73
174,13-MAR-2023,17421.9,17529.9,17113.45,17154.3,254914657.0,22860.67
175,14-MAR-2023,17160.55,17224.65,16987.1,17043.3,290604200.0,26057.6
176,15-MAR-2023,17166.45,17211.35,16938.9,16972.15,248188970.0,22659.09
177,16-MAR-2023,16994.65,17062.45,16850.15,16985.6,349820607.0,24198.71
178,17-MAR-2023,17111.8,17145.8,16958.15,17100.05,408121255.0,30478.42
179,20-MAR-2023,17066.6,17066.6,16828.35,16988.4,241777405.0,21454.09
180,21-MAR-2023,17060.4,17127.7,17016.0,17107.5,246737873.0,22039.11
181,22-MAR-2023,17177.45,17207.25,17107.85,17151.9,185700457.0,15712.0
182,23-MAR-2023,17097.4,17205.4,17045.3,17076.9,219171517.0,19676.97
