Date,Close Price
26-Apr-2023,165.65
27-Apr-2023,165.9
28-Apr-2023,168.4
02-May-2023,171.7
03-May-2023,172.95
04-May-2023,174.8
05-May-2023,174.5
08-May-2023,175.4
09-May-2023,170.1
10-May-2023,173.65
11-May-2023,174.9
12-May-2023,175.3
15-May-2023,176.4
16-May-2023,175.3
17-May-2023,173.45
18-May-2023,170.0
19-May-2023,169.1
22-May-2023,169.25
23-May-2023,170.65
24-May-2023,169.1
25-May-2023,169.9
26-May-2023,171.95
29-May-2023,174.2
30-May-2023,174.15
31-May-2023,174.15
01-Jun-2023,183.95
02-Jun-2023,184.3
05-Jun-2023,180.5
06-Jun-2023,184.95
07-Jun-2023,182.3
08-Jun-2023,181.2
09-Jun-2023,185.4
12-Jun-2023,188.0
13-Jun-2023,186.95
14-Jun-2023,189.95
15-Jun-2023,189.15
16-Jun-2023,186.85
19-Jun-2023,187.2
20-Jun-2023,189.05
21-Jun-2023,187.8
22-Jun-2023,190.65
23-Jun-2023,186.9
26-Jun-2023,188.55
27-Jun-2023,187.75
28-Jun-2023,186.4
30-Jun-2023,186.0
03-Jul-2023,191.6
04-Jul-2023,193.55
05-Jul-2023,193.9
06-Jul-2023,193.85
07-Jul-2023,188.9
10-Jul-2023,188.55
11-Jul-2023,189.15
12-Jul-2023,187.8
13-Jul-2023,186.25
14-Jul-2023,182.25
17-Jul-2023,181.3
18-Jul-2023,181.25
19-Jul-2023,181.7
20-Jul-2023,180.95
21-Jul-2023,180.8
24-Jul-2023,180.85
25-Jul-2023,183.85
26-Jul-2023,179.65
27-Jul-2023,181.9
28-Jul-2023,181.4
31-Jul-2023,180.3
01-Aug-2023,183.2
02-Aug-2023,164.2
03-Aug-2023,161.65
04-Aug-2023,159.5
07-Aug-2023,155.95
08-Aug-2023,154.15
09-Aug-2023,156.45
10-Aug-2023,154.75
11-Aug-2023,151.8
14-Aug-2023,149.5
16-Aug-2023,158.15
17-Aug-2023,154.5
18-Aug-2023,154.35
21-Aug-2023,153.1
22-Aug-2023,153.45
23-Aug-2023,152.8
24-Aug-2023,154.0
25-Aug-2023,156.6
28-Aug-2023,156.2
29-Aug-2023,155.6
30-Aug-2023,157.0
31-Aug-2023,156.85
01-Sep-2023,156.2
04-Sep-2023,156.0
05-Sep-2023,163.4
06-Sep-2023,164.85
07-Sep-2023,166.85
08-Sep-2023,165.55
11-Sep-2023,165.2
12-Sep-2023,160.6
13-Sep-2023,158.9
14-Sep-2023,158.45
15-Sep-2023,158.0
18-Sep-2023,159.7
20-Sep-2023,157.35
21-Sep-2023,157.5
22-Sep-2023,157.75
25-Sep-2023,158.85
26-Sep-2023,156.65
27-Sep-2023,154.7
28-Sep-2023,152.25
29-Sep-2023,154.8
03-Oct-2023,158.05
04-Oct-2023,155.9
05-Oct-2023,156.05
06-Oct-2023,155.05
09-Oct-2023,153.05
10-Oct-2023,153.4
11-Oct-2023,152.7
12-Oct-2023,152.5
13-Oct-2023,152.4
16-Oct-2023,151.85
17-Oct-2023,152.2
18-Oct-2023,152.2
19-Oct-2023,151.95
20-Oct-2023,148.2
23-Oct-2023,142.65
25-Oct-2023,139.6
26-Oct-2023,141.85
27-Oct-2023,145.2
30-Oct-2023,146.05
31-Oct-2023,142.8
01-Nov-2023,145.15
02-Nov-2023,143.75
03-Nov-2023,144.05
06-Nov-2023,147.3
07-Nov-2023,147.7
08-Nov-2023,152.0
09-Nov-2023,154.55
10-Nov-2023,154.55
12-Nov-2023,154.35
13-Nov-2023,153.75
15-Nov-2023,155.25
16-Nov-2023,155.7
17-Nov-2023,158.5
20-Nov-2023,160.3
21-Nov-2023,160.1
22-Nov-2023,159.05
23-Nov-2023,158.15
24-Nov-2023,162.25
28-Nov-2023,158.85
29-Nov-2023,160.15
30-Nov-2023,160.7
01-Dec-2023,159.65
04-Dec-2023,161.35
05-Dec-2023,166.1
06-Dec-2023,165.2
07-Dec-2023,168.7
08-Dec-2023,168.85
11-Dec-2023,170.15
12-Dec-2023,175.3
13-Dec-2023,173.6
14-Dec-2023,173.7
15-Dec-2023,175.4
18-Dec-2023,175.55
19-Dec-2023,175.4
20-Dec-2023,173.65
21-Dec-2023,175.9
22-Dec-2023,175.8
26-Dec-2023,175.7
27-Dec-2023,176.0
28-Dec-2023,177.9
29-Dec-2023,176.8
01-Jan-2024,175.0
02-Jan-2024,176.75
03-Jan-2024,175.6
04-Jan-2024,174.8
05-Jan-2024,175.4
08-Jan-2024,181.45
09-Jan-2024,179.9
10-Jan-2024,177.65
11-Jan-2024,179.7
12-Jan-2024,177.95
15-Jan-2024,180.05
16-Jan-2024,178.95
17-Jan-2024,176.45
18-Jan-2024,176.95
19-Jan-2024,178.35
20-Jan-2024,180.1
23-Jan-2024,174.95
24-Jan-2024,175.65
25-Jan-2024,173.0
29-Jan-2024,176.7
30-Jan-2024,177.45
31-Jan-2024,179.85
01-Feb-2024,180.2
02-Feb-2024,188.55
05-Feb-2024,203.85
06-Feb-2024,208.1
07-Feb-2024,193.6
08-Feb-2024,192.05
09-Feb-2024,190.3
12-Feb-2024,182.65
13-Feb-2024,199.05
14-Feb-2024,199.45
15-Feb-2024,200.55
16-Feb-2024,197.35
19-Feb-2024,207.9
20-Feb-2024,211.0
21-Feb-2024,204.75
22-Feb-2024,205.15
23-Feb-2024,209.8
26-Feb-2024,207.55
27-Feb-2024,212.15
28-Feb-2024,203.3
29-Feb-2024,206.75
01-Mar-2024,211.05
02-Mar-2024,209.45
04-Mar-2024,208.75
05-Mar-2024,213.8
06-Mar-2024,204.9
07-Mar-2024,205.45
11-Mar-2024,197.55
12-Mar-2024,199.85
13-Mar-2024,191.9
14-Mar-2024,205.3
15-Mar-2024,211.65
18-Mar-2024,208.0
19-Mar-2024,202.0
20-Mar-2024,201.25
21-Mar-2024,202.05
22-Mar-2024,205.4
26-Mar-2024,207.4
27-Mar-2024,204.8
28-Mar-2024,208.45
01-Apr-2024,209.95
02-Apr-2024,222.15
03-Apr-2024,222.05
04-Apr-2024,215.9
05-Apr-2024,222.8
08-Apr-2024,221.7
09-Apr-2024,222.0
10-Apr-2024,220.6
12-Apr-2024,220.05
15-Apr-2024,221.4
16-Apr-2024,221.9
18-Apr-2024,221.45
19-Apr-2024,218.95
22-Apr-2024,217.95
23-Apr-2024,218.1
24-Apr-2024,220.5
25-Apr-2024,223.6
26-Apr-2024,222.6
29-Apr-2024,218.0
30-Apr-2024,218.6
02-May-2024,218.55
03-May-2024,218.35
06-May-2024,209.9
07-May-2024,208.8
08-May-2024,205.9
09-May-2024,202.3
10-May-2024,207.65
13-May-2024,211.25
14-May-2024,212.45
15-May-2024,215.3
16-May-2024,213.4
17-May-2024,211.2
18-May-2024,210.95
21-May-2024,212.6
22-May-2024,211.25
23-May-2024,208.7
24-May-2024,206.35
27-May-2024,205.6
28-May-2024,203.85
29-May-2024,198.15
30-May-2024,197.25
31-May-2024,198.15
03-Jun-2024,204.0
04-Jun-2024,197.5
05-Jun-2024,209.0
06-Jun-2024,205.25
07-Jun-2024,208.8
10-Jun-2024,217.69
11-Jun-2024,215.54
12-Jun-2024,221.7
13-Jun-2024,222.06
14-Jun-2024,216.53
18-Jun-2024,216.65
19-Jun-2024,214.87
20-Jun-2024,216.35
21-Jun-2024,216.52
24-Jun-2024,216.77
25-Jun-2024,216.98
26-Jun-2024,213.97
27-Jun-2024,211.61
28-Jun-2024,214.22
